專案名稱,抽驗日期,分類,檢體名稱,抽驗行政郵遞區號,抽驗地點,檢驗結果,不符合規定原因
蔬果,20230106,小漿果類,冷凍草莓(製造日期1110923),104,延柔商行(七盞茶林森店)/臺北市中山區林森北路302號,不符合規定,殺蟲劑Pirimicarb 比加普0.04ppm(標準：0.01ppm以下) 
蔬果,20230105,小葉菜類,青蔥,106,築間幸福鍋物/臺北市大安區忠孝東路4段120號2樓,不符合規定,殺蟲劑Metaflumizone 美氟綜0.02ppm(標準：0.01ppm以下) 
祭祀食品,20230214,豆乾類,泰山干絲,112,北投中繼市場-麗萍豆干美食(72號攤)/臺北市北投區磺港路33號,不符合規定,檢出過氧化氫為陽性(不得檢出)
祭祀食品,20230215,豆乾類,特選涼拌干絲,108,聰明素食批發行(聰明食品總匯)/臺北市萬華區西藏路552號,不符合規定,檢出過氧化氫為陽性(不得檢出)
祭祀食品,20230216,豆乾類,豆干絲,110,阿弘潤餅/臺北市信義區吳興街189號,不符合規定,檢出苯甲酸0.71 g/kg(標準：0.6 g/kg以下)
祭祀食品,20230217,豆乾類,豆干,114,豪棧小吃店(潤餅、刈包)/臺北市內湖區內湖路1段285巷59弄1號,不符合規定,檢出過氧化氫為陽性(不得檢出)
蔬果,20230201,小漿果類,台灣新鮮草莓2號,114,美味達人股份有限公司內湖文德分公司(85°C BAKERY CAFÉ)/臺北市內湖區文德路2號,不符合規定,"殺蟎劑Bifenazate 必芬蟎7.6ppm(標準：2.0ppm以下) 
殺蟲劑Deltamethrin 第滅寧0.4ppm(標準：0.2ppm以下) 
殺蟲劑Spiromesifen 賜滅芬2.1ppm(標準：1.0ppm以下) "
蔬果,20230201,小漿果類,大芥菜(包心芥菜),114,湖光市場無市招菜攤(葉O雲)/臺北市內湖區康寧路1段26巷1號旁,不符合規定,"殺蟲劑Abamectin 阿巴汀0.12ppm(標準：0.05ppm以下) 
殺蟲劑Chlorfenapyr 克凡派1.5ppm(標準：1.0ppm以下) 
殺蟲劑Methomyl 納乃得0.8ppm(標準：0.7以下) "
蔬果,20230203,包葉菜類,刈菜(包心芥菜),104,吳O玲/承銷號：2601/榮濱市場路邊攤/臺北市中山區民族東路410巷2弄10號前,不符合規定,"殺蟲劑Dimethoate 大滅松0.07ppm(標準：0.02ppm以下) 
殺蟲劑Omethoate 歐滅松0.10ppm(標準：不得檢出) "
蔬果,20230201,小葉菜類,菠菜,114,湖光市場無市招菜攤(葉O雲)/臺北市內湖區康寧路1段26巷1號旁,不符合規定,殺蟲劑Indoxacarb 因得克0.28ppm(標準： 0.01ppm以下) 
蔬果,20230203,小葉菜類,日本福岡 甘王草莓(盒),108,台台灣泛亞零售管理顧問股份有限公司西門分公司（DON DON DONKI) /臺北市萬華區西寧南路123號、123之1號、123號2樓、123號2樓之1、123號3樓、123號3樓之1；武昌街2段50巷2號、2之1號、2之2號、2之3號、2之5號、2之6號、2之7號、2之8號、2之9號、2之10號、2之11號、6號及西寧南路123號2樓、2樓之1、3樓、3樓之1,不符合規定,殺蟲劑Flonicamid 氟尼胺0.14ppm(標準：0.01ppm以下) 
蔬果,20230201,小葉菜類,空運日本草莓,114,好市多股份有限公司內湖分公司(COSTCO)/臺北市內湖區舊宗路1段268號、民善街255號,不符合規定,殺蟲劑Flonicamid 氟尼胺0.10ppm(標準：0.01ppm以下) 
蔬果,20230202,小葉菜類,菠菜,111,士林市場-菜攤(曹O良)/臺北市士林區基河路101號(豪大大雞排正對面),不符合規定,殺菌劑Flutriafol 護汰芬0.02ppm(標準：0.01ppm以下) 
蔬果,20230203,小葉菜類,茼蒿,104,榮濱市場路邊攤/臺北市中山區民族東路410巷55號門口前,不符合規定,殺菌劑Flutriafol 護汰芬0.02ppm(標準：0.01ppm以下) 
蔬果,20230203,小漿果類,釋迦,108,環南市場蔬菜區青果攤0003號/臺北市萬華區環河南路2段245號,不符合規定,殺蟲劑Diflubenzuron 二福隆0.02ppm(標準：0.01ppm以下) 
蔬果,20230203,小葉菜類,茼蒿,108,環南坤廷蔬菜/臺北市萬華區環河南路2段245號/環南市場蔬菜區150號攤,不符合規定,殺菌劑Difenoconazole 待克利1.9ppm(標準：1.0ppm以下) 
蔬果,20230201,小葉菜類,茼蒿,114,湖光市場無市招菜攤(葉O雲)/臺北市內湖區康寧路1段26巷1號旁,不符合規定,殺菌劑Difenoconazole 待克利1.4ppm(標準：1.0ppm以下) 
蔬果,20230203,包葉菜類,芥菜(包心芥菜),108,我是你的菜/臺北市萬華區環河南路2段245號環南市場蔬菜區152號攤,不符合規定,殺蟲劑Terbufos 托福松0.06ppm(標準：0.05ppm以下) 
蔬果,20230201,小葉菜類,迷迭香_新鮮香草,108,"食代嚴選
https://www.fresh2you.tw，1120201(到貨日)",不符合規定,"(1)殺蟲劑Acetamiprid 亞滅培2.86ppm(標準：0.01ppm以下)/(2)殺菌劑Carbendazim 貝芬替0.02ppm(標準：0.01ppm以下)/(3)殺蟲劑Chlorfenapyr 克凡派2.01ppm(標準：0.01ppm以下)/(4)殺菌劑Chlorothalonil 四氯異苯腈0.13ppm(標準：0.02ppm以下)/(5)殺蟲劑Chlorpyrifos 陶斯松0.04ppm(標準：0.01ppm以下)/(6)殺蟎劑Cyflumetofen 賽芬蟎1.45ppm(標準：0.01ppm以下)/(7)殺菌劑Cyprodinil 賽普洛0.40ppm(標準：0.01ppm以下)/(8)殺蟲劑Deltamethrin 第滅寧0.66ppm(標準：0.01ppm以下)/(9)殺菌劑Difenoconazole 待克利0.40ppm(標準：0.01ppm以下)/(10)殺蟲劑Diflubenzuron 二福隆1.80ppm(標準：0.01ppm以下)/(11)殺蟲劑Dimethoate 大滅松4.24ppm(標準：不得檢出)/(12)殺菌劑Dimethomorph 達滅芬3.81ppm(標準：0.01ppm以下)/(13)殺蟲劑Dinotefuran 達特南0.02ppm(標準：不得檢出)/(14)殺草劑Diuron 達有龍0.02ppm(標準：不得檢出)/(15)殺蟲劑Flonicamid 氟尼胺0.02ppm(標準：0.01ppm以下)/(16)殺蟲劑Flubendiamide 氟大滅0.19ppm(標準：不得檢出)/(17)殺菌劑Fludioxonil 護汰寧0.61ppm(標準：0.01ppm以下)/(18)殺菌劑Fluopicolide 氟比來0.83ppm(標準：0.01ppm以下)/(19)殺菌劑Flutolanil 福多寧0.32ppm(標準：0.01ppm以下)/(20)殺菌劑Fluxapyroxad 氟克殺0.63ppm(標準：不得檢出)
/(21)殺蟲劑Imidacloprid 益達胺0.15ppm(標準：0.01ppm以下)/(22)殺蟲劑Omethoate 歐滅松0.31ppm(標準：不得檢出)/(23)殺草劑Pendimethalin 施得圃0.02ppm(標準：0.01ppm以下)/(24)殺菌劑Procymidone 撲滅寧0.02ppm(標準：0.01ppm以下) 
/(25)殺菌劑Propamocarb hydrochloride 普拔克1.08ppm(標準：0.01ppm以下)/(26)殺菌劑Pyraclostrobin 百克敏5.55ppm(標準：0.01ppm以下)/(27)殺蟲劑Pyriproxyfen 百利普芬0.08ppm(標準：0.01ppm以下)/(28)殺蟎劑Spirotetramat 賜派滅0.79ppm(標準：不得檢出) "
