"統一編號","公司名稱","公司地址","資本總額","實收資本額","在境內營運資金","核准設立日期","營業地址（財政資訊中心匯入）","行業代號（財政資訊中心匯入）","財政資訊中心匯入日期","股票代號（金融監督管理委員會匯入）","產業別（金融監督管理委員會匯入）","金融監督管理委員會匯入日期","商標資料（智慧財產局匯入）","智慧財產局匯入日期"
"90071960","冠通有限公司","臺北市中正區衡陽路108號12樓之6","300000"," "," ","1111021","臺北市中正區建國里衡陽路１０８號１２樓之６","812100,,,","26-MAR-26","","","","",""
"90098047","美的智能股份有限公司","臺北市中山區樂群二路93號2樓之3","600000000","50000000"," ","1110919","臺北市中山區成功里樂群二路９３號２樓之３","351000,,,","26-MAR-26","","","","",""
"90138575","福寬瑞德有限公司","臺北市大安區忠孝東路4段222號3樓","1000000"," "," ","1110315","臺北市大安區車層里忠孝東路４段２２２號３樓","456199,,,","26-MAR-26","","","","",""
"90146081","鼎洋海事工程有限公司","臺北市中正區羅斯福路3段284巷8號1樓","1000000"," "," ","1110317","臺北市中正區羅斯福路３段２８４巷８號１樓","429011,433199,,","26-MAR-26","","","","",""
"90156088","峰鈦實業有限公司","臺北市中山區敬業一路38號4樓之5","2500000"," "," ","1110401","臺北市中山區成功里敬業一路３８號４樓之５","462017,462099,,","26-MAR-26","","","","",""
"90156398","二伍發土石方資源處理有限公司","臺北市大安區忠孝東路4段169號12樓之1","5000000"," "," ","1110406","臺北市大安區建安里忠孝東路四段１６９號１２樓之１","381113,,,","26-MAR-26","","","","",""
"90161532","創價長盈國際有限公司","臺北市中正區忠孝西路1段72號7樓之8","3680000"," "," ","1110517","臺北市中正區黎明里忠孝西路１段７２號７樓之８","452000,456999,,","26-MAR-26","","","","",""
"90256827","雋鑫金屬材料股份有限公司","臺北市中山區南京東路2段72號8樓","20000000","20000000"," ","1110412","臺北市中山區興亞里南京東路２段７２號８樓","060016,469916,,","26-MAR-26","","","","",""
"90258557","綠的新創控股事業股份有限公司","臺北市文山區指南路1段41號5樓之1","120000000","31000000"," ","1110513","臺北市文山區木新里指南路１段４１號５樓之１","760911,,,","26-MAR-26","","","","",""
"90277956","賦祥有限公司","臺北市內湖區康樂街72巷17弄5號1樓","1000000"," "," ","1110804","臺北市內湖區東湖里康樂街７２巷１７弄５號１樓","456611,456612,,","26-MAR-26","","","","",""
"90306066","御天國際能源股份有限公司","臺北市士林區至誠路1段82號1樓","7200000","7200000"," ","1110607","臺北市士林區岩山里至誠路１段８２號１樓","381111,812911,281099,433117","26-MAR-26","","","","",""
"90349179","六藝投資有限公司","臺北市士林區中山北路5段689號4樓","10000000"," "," ","1110713","臺北市士林區舊佳里中山北路５段６８９號４樓","670011,670012,681111,681112","26-MAR-26","","","","",""
"90349332","迪斯工程有限公司","臺北市中山區長安東路1段16號8樓之5","1000000"," "," ","1110714","臺北市中山區長安東路１段１６號８樓之５","456700,782000,439014,340012","26-MAR-26","","","","",""
"90367056","鑫貿矽有限公司","臺北市北投區知行路316巷22弄8號1樓","500000"," "," ","1110721","臺北市北投區關渡里知行路３１６巷２２弄８號１樓","469916,464319,,","26-MAR-26","","","","",""
"90370714","開祥工程有限公司","臺北市大同區迪化街2段172巷20號","300000"," "," ","1110531","臺北市大同區迪化街２段１７２巷２０號","434011,,,","26-MAR-26","","","","",""
"90374562","乾大有限公司","臺北市大安區羅斯福路3段29號6樓","1000000"," "," ","1110725","臺北市大安區古莊里羅斯福路３段２９號６樓","620112,952100,,","26-MAR-26","","","","",""
"90374922","界宿有限公司","臺北市大安區臥龍街188巷35號1樓","200000"," "," ","1110726","臺北市大安區黎元里臥龍街１８８巷３５號１樓","485212,,,","26-MAR-26","","","","",""
"90386315","森崎有限公司","臺北市萬華區貴陽街2段51號3樓","3000000"," "," ","1110829","臺北市萬華區新起里貴陽街２段５１號３樓","458399,464111,,","26-MAR-26","","","","",""
"90448229","京隆工程企業有限公司","臺北市中正區漢口街1段85號6樓之6","5000000"," "," ","1101112","臺北市中正區光復里漢口街１段８５號６樓之６","060099,,,","26-MAR-26","","","","",""
"90469791","三承國際設計室內裝修有限公司","臺北市中正區仁愛路2段25號5樓","501000"," "," ","1100910","臺北市中正區文北里仁愛路２段２５號５樓","060099,429011,433115,434011","26-MAR-26","","","","",""
"90474339","平安營造股份有限公司","臺北市信義區松德路12號3樓","10000000","10000000"," ","1101117","臺北市信義區廣居里松德路１２號３樓","434013,461999,,","26-MAR-26","","","","",""
"90474387","太暉營造股份有限公司","臺北市中山區新生北路1段51號3樓","300000000","286000000"," ","0801008","臺北市中山區興亞里新生北路１段５１號３樓","439099,434011,434012,","26-MAR-26","","","","",""
"90475668","知臨股份有限公司","臺北市信義區松高路9號27樓","2000000","2000000"," ","1101124","臺北市信義區興雅里松高路９號２７樓","381113,,,","26-MAR-26","","","","",""
"90491766","致羽工程顧問有限公司","臺北市信義區松德路25巷30號","1500000"," "," ","1100820","臺北市信義區松德路２５巷３０號","711212,,,","26-MAR-26","","","","",""
"90493413","宇成探勘工程有限公司","臺北市文山區木新路3段127巷12弄5號1樓","500000"," "," ","1100825","臺北市文山區樟腳里木新路三段１２７巷１２弄５號１樓","060014,,,","26-MAR-26","","","","",""
"90516458","龍辰勳有限公司","臺北市信義區忠孝東路5段1之2號5樓","3000000"," "," ","1101012","臺北市信義區忠孝東路５段１之２號５樓","461599,381113,431014,","26-MAR-26","","","","",""
"90517317","密拉崗國際事業有限公司","臺北市中山區復興北路342號4樓之1","5000000"," "," ","1101014","臺北市中山區江山里復興北路３４２號４樓之１","702099,740999,782000,903019","26-MAR-26","","","","",""
"90580177","友麗工程有限公司","臺北市大安區安和路1段11號4樓","1000000"," "," ","1110118","臺北市大安區建倫里安和路１段１１號４樓","434011,,,","26-MAR-26","","","","",""
"90584429","樂亞生育光波股份有限公司","臺北市中山區中山北路2段65巷3號","300000","300000"," ","1101220","臺北市中山區中山里中山北路２段６５巷３號","454999,456999,472914,474999","26-MAR-26","","","","光波能量,","2024-11-27"
"90588142","帝岳寶國際股份有限公司","臺北市松山區南京東路4段1號4樓","12000000","12000000"," ","1110121","臺北市松山區中華里南京東路４段１號４樓","456611,456613,,","26-MAR-26","","","","CARAT WANG HAUTE JEWELLERY,","2024-11-27"
"90595559","翰駿營造有限公司","臺北市大安區復興南路1段243號6樓之1","5000000"," "," ","1110128","臺北市大安區仁慈里復興南路１段２４３號６樓之１","429011,410099,,","26-MAR-26","","","","",""
"90669236","勁芸有限公司","臺北市北投區尊賢街226號1樓","2500000"," "," ","1110127","臺北市北投區尊賢街２２６號１樓","434011,740100,670012,","26-MAR-26","","","","",""
"90673371","新顥循環系統股份有限公司","臺北市松山區南京東路5段202號4樓之5","300000000","100000000"," ","1000719","臺北市松山區南京東路５段２０２號４樓之５","087000,455214,455215,464299","26-MAR-26","","","","",""
"90690272","圓熹國際股份有限公司","臺北市大同區承德路1段17號9樓","15000000","15000000"," ","1100330","臺北市大同區建明里承德路１段１７號９樓","702099,591113,712999,474114","26-MAR-26","","","","",""
"90699506","紀翔工程有限公司","臺北市大同區南京西路163號2樓之97","3000000"," "," ","1100209","臺北市大同區朝陽里南京西路１６３號２樓之９７","060099,431020,410099,439014","26-MAR-26","","","","",""
"90764180","天晴空間營造有限公司","臺北市中山區中山北路2段59巷21號8樓之5","7500000"," "," ","1100519","臺北市中山區中山里中山北路２段５９巷２１號８樓之５","429099,431015,711299,","26-MAR-26","","","","",""
"90828608","佳新開發工程有限公司","臺北市內湖區潭美街590號5樓","2000000"," "," ","1100315","臺北市內湖區蘆洲里潭美街５９０號５樓","439099,,,","26-MAR-26","","","","",""
"90833362","昊運興業有限公司","臺北市中正區羅斯福路3段100號3樓之9","1000000"," "," ","1100427","臺北市中正區頂東里羅斯福路３段１００號３樓之９","461400,457299,,","26-MAR-26","","","","昊運興業,HAO YUN XINGYE,","2024-11-27"
"90837472","軒宸開發有限公司","臺北市文山區興隆路2段220巷47號1樓","5000000"," "," ","1100322","臺北市文山區興業里興隆路二段２２０巷４７號１樓","813000,020099,439014,458112","26-MAR-26","","","","",""
"90851419","連達工程有限公司","臺北市大安區忠孝東路4段71之6號","300000"," "," ","1100401","臺北市大安區光武里忠孝東路４段７１─６號","140200,,,","26-MAR-26","","","","",""
"90869419","滙源營造股份有限公司","臺北市中山區松江路139號3樓","200000000","112500000"," ","1100427","臺北市中山區中央里松江路１３９號３樓","439099,429011,060014,434015","26-MAR-26","","","","",""
"90878698","新埔工程有限公司","臺北市士林區重慶北路4段251號5樓","5000000"," "," ","1100303","臺北市士林區葫東里重慶北路４段２５１號５樓","433111,434013,433900,","26-MAR-26","","","","",""
"90881173","得禾實業股份有限公司","臺北市大同區民權西路172號1樓","5000000","5000000"," ","1100203","臺北市大同區民權西路１７２號１樓","670012,782000,381113,","26-MAR-26","","","","",""
"91023811","元章有限公司","臺北市信義區信義路5段150巷16號4樓","5000000"," "," ","1100811","臺北市萬華區糖?里大理街１０８號２樓","670012,711113,481014,434011","26-MAR-26","","","","",""
"91037441","圓方天地股份有限公司","臺北市松山區南京東路3段287號9樓","10000000","4000000"," ","1100713","臺北市松山區中正里南京東路３段２８７號９樓","639099,731099,464111,","26-MAR-26","","","","",""
"91058748","新琦營造股份有限公司","臺北市中山區松江路297巷14號1樓","100000000","100000000"," ","1100601","臺北市中山區松江里松江路２９７巷１４號１樓","410013,433111,434011,452000","26-MAR-26","","","","",""
"91098811","大牧投顧科技有限公司","臺北市大同區重慶北路3段178號1樓","10100000"," "," ","1100705","臺北市大同區國慶里重慶北路三段１７８號１樓","433199,,,","26-MAR-26","","","","",""
"91110364","翔益源有限公司","臺北市萬華區中華路2段138號7樓","500000"," "," ","1100723","臺北市萬華區頂碩里中華路２段１３８號７樓","461599,,,","26-MAR-26","","","","",""
"93365877","巨威全球能源股份有限公司","臺北市信義區祥雲街13之1號地下","5000000","5000000"," ","1120412","臺北市信義區六合里祥雲街１３－１號地下","463113,463911,,","26-MAR-26","","","","",""
"93378155","成陽顯霖建設股份有限公司","臺北市中山區民權東路3段10號8樓之1","5000000","5000000"," ","1120419","臺北市中山區江寧里民權東路３段１０號８樓之１","681111,681112,434011,","26-MAR-26","","","","",""
"93508468","希派斯科技有限公司","臺北市內湖區金龍路47巷27號","50000"," "," ","1121121","臺北市內湖區金龍路４７巷２７號","433212,433111,433112,433199","26-MAR-26","","","","",""
"93516426","漢京工程股份有限公司","臺北市信義區基隆路1段400號5樓","5000000","100000"," ","1121206","臺北市信義區中興里基隆路１段４００號５樓","434011,439099,681111,670012","26-MAR-26","","","","",""
"93524946","輔一有限公司","臺北市中正區襄陽路6號1樓","500000"," "," ","1121212","臺北市中正區黎明里襄陽路６號１樓","464111,464112,464211,452000","26-MAR-26","","","","",""
"93535325","仕鼎營造股份有限公司","臺北市士林區中山北路6段89號10樓","200000000","10000000"," ","1121127","臺北市士林區德行里中山北路６段８９號１０樓","431099,431015,431020,431013","26-MAR-26","","","","",""
"93576269","彧新工程有限公司","臺北市北投區三合街2段424巷2號","1000000"," "," ","1130329","臺北市北投區三合街２段４２４巷２號","453212,461214,,","26-MAR-26","","","","",""
"93585149","大谷營造股份有限公司","臺北市內湖區民權東路6段210巷23號3樓","23589500","23589500"," ","1130403","臺北市內湖區寶湖里民權東路６段２１０巷２３號３樓","670012,431099,429099,410099","26-MAR-26","","","","",""
"93616136","原瑞寶開發有限公司","臺北市松山區南京東路3段287號10樓","200000"," "," ","1130325","臺北市松山區中正里南京東路３段２８７號１０樓","702099,451099,760999,","26-MAR-26","","","","",""
"93616874","亞圓國際股份有限公司","臺北市大同區南京西路155巷11之1號","600000000","100000"," ","1130327","臺北市大同區南京西路１５５巷１１之１號","011399,,,","26-MAR-26","","","","",""
"93623621","保迪國際工程有限公司","臺北市萬華區西園路2段320巷36弄36號","3000000"," "," ","1130123","臺北市萬華區和德里西園路二段３２０巷３６弄３６號","434011,439014,,","26-MAR-26","","","","MK,","2024-11-27"
"93697518","築匠整合有限公司","臺北市大同區民權西路136號9樓之14","500000"," "," ","1130318","臺北市大同區民權里民權西路１３６號９樓之１４","461999,481013,,","26-MAR-26","","","","",""
"93788881","百谷國際股份有限公司","臺北市大安區信義路3段7號地下2層","1000000","1000000"," ","1120525","臺北市大安區民炤里信義路３段７號地下二層","011500,,,","26-MAR-26","","","","",""
"93956113","成陽正霖投資有限公司","臺北市中山區民權東路3段10號8樓之1","1000000"," "," ","1120714","臺北市中山區江寧里民權東路３段１０號８樓之１","455211,457299,458314,456511","26-MAR-26","","","","",""
"94000539","成陽忠霖工程實業有限公司","臺北市中山區民權東路3段10號8樓之1","500000"," "," ","1120718","臺北市中山區江寧里民權東路３段１０號８樓之１","433199,434011,681111,681112","26-MAR-26","","","","",""
"94016737","正鑫金屬有限公司","臺北市信義區信義路5段111號3樓之15","300000"," "," ","1120426","臺北市信義區安康里信義路五段１１１號３樓之１５","060099,433212,,","26-MAR-26","","","","",""
"94031913","領袖營造股份有限公司","臺北市大安區敦化南路2段69號20樓","25000000","25000000"," ","1120801","臺北市大安區義安里敦化南路２段６９號２０樓","782000,,,","26-MAR-26","","","","",""
"94132460","銘瀚國際有限公司","臺北市北投區中央北路3段220巷7號","1000000"," "," ","1120616","臺北市北投區中央北路３段２２０巷７號","429099,,,","26-MAR-26","","","","",""
"94150311","銳錦營造工程股份有限公司","臺北市信義區松德路159號4樓之3","5000000","5000000"," ","1121020","臺北市信義區安康里松德路１５９號４樓之３","410013,410099,421000,429099","26-MAR-26","","","","",""
"94160140","六藝礦業有限公司","臺北市士林區中山北路5段689號4樓","1000000"," "," ","1121103","臺北市士林區舊佳里中山北路５段６８９號４樓","060016,469916,,","26-MAR-26","","","","",""
"94167241","大安榮泰開發有限公司","臺北市大同區重慶北路3段252巷2號3樓","1000000"," "," ","1120823","臺北市大同區鄰江里重慶北路３段２５２巷２號３樓","670011,670012,381113,431013","26-MAR-26","","","","",""
"94214151","豐記開發工程有限公司","臺北市中正區寧波西街3號2樓","2600000"," "," ","1120925","臺北市中正區龍福里寧波西街３號２樓","060014,429011,434011,","26-MAR-26","","","","",""
"94247081","真永工程有限公司","臺北市信義區林口街20號2樓","1000000"," "," ","1120821","臺北市信義區林口街２０號２樓","434011,,,","26-MAR-26","","","","",""
"94637829","建利企業股份有限公司","臺北市士林區忠誠路1段56號10樓","46000000","46000000"," ","0630225","臺北市士林區忠誠路１段５６號１０樓","234011,456211,461311,474211","26-MAR-26","","","","建利企業,HSIN FU ENTERPRISE,","2024-11-27"
"94737974","山益礦業股份有限公司","臺北市松山區南京東路5段316號8樓之10","10000000","10000000"," ","0660331","臺北市松山區新聚里南京東路５段３１６號８樓之１０","454700,060099,060014,","26-MAR-26","","","","",""
"95440788","志豪開發工程有限公司","臺北市大同區南京西路163號2樓之10","200000"," "," ","1130624","臺北市大同區南京西路１６３號２樓之１０","434011,410099,461999,","26-MAR-26","","","","",""
"95474288","豐璽工程顧問有限公司","臺北市文山區景興路202巷11號15樓","500000"," "," ","1130627","臺北市文山區景行里景興路２０２巷１１號１５樓","711112,711299,711212,","26-MAR-26","","","","",""
"96322113","上作美器設計有限公司","臺北市大同區昌吉街61巷9弄4號","1000000"," "," ","1130801","臺北市大同區昌吉街６１巷９弄４號","454811,,,","26-MAR-26","","","","",""
"96571822","軒暐工程有限公司","臺北市大安區敦化南路1段205號2樓之8","500000"," "," ","1140217","臺北市大安區建安里敦化南路１段２０５號２樓之８","421000,434099,,","26-MAR-26","","","","",""
"96579373","創元地熱開發股份有限公司","臺北市松山區民生東路4段54號8樓之8","10000000","10000000"," ","1130607","臺北市松山區民生東路４段５４號８樓之８","281099,282011,351000,353011","26-MAR-26","","","","",""
