"統一編號","公司名稱","公司地址","資本總額","實收資本額","在境內營運資金","核准設立日期","營業地址（財政資訊中心匯入）","行業代號（財政資訊中心匯入）","財政資訊中心匯入日期","股票代號（金融監督管理委員會匯入）","產業別（金融監督管理委員會匯入）","金融監督管理委員會匯入日期","商標資料（智慧財產局匯入）","智慧財產局匯入日期"
"82814779","臺灣歐克颯麗斯股份有限公司","臺北市信義區基隆路2段51號14樓","23500000","23500000"," ","1080322","臺北市信義區景聯里基隆路二段５１號１４樓","351000,,,","26-MAR-26","","","","",""
"82814969","鑫源國際資本有限公司","臺北市大安區信義路4段281號11樓","10000000"," "," ","1080322","臺北市大安區敦煌里信義路４段２８１號１１樓","669199,160212,,","26-MAR-26","","","","",""
"82816657","璨亨能源股份有限公司","臺北市中山區復興北路420號13樓之1","20100000","20100000"," ","1080225","臺北市中山區下埤里復興北路４２０號１３樓之１","760999,351000,,","26-MAR-26","","","","",""
"82816946","台以環能股份有限公司","臺北市士林區中山北路5段500號7樓","300000000","182325000"," ","1080226","臺北市士林區福林里中山北路５段５００號７樓","760999,,,","26-MAR-26","","","","",""
"82821856","未來網路股份有限公司","臺北市松山區八德路4段829巷1號4樓","30000000","19963310"," ","1080305","臺北市松山區八德路４段８２９巷１號４樓","464111,464112,,","26-MAR-26","","","","FAIRY COTTON,BOTHFREE,","2024-11-27"
"82823708","宇治投資股份有限公司","臺北市大安區忠孝東路3段249號5樓","30000000","30000000"," ","1080318","臺北市大安區誠安里忠孝東路３段２４９號５樓","669199,702099,,","26-MAR-26","","","","",""
"82827063","毫光相實業有限公司","臺北市中山區南京東路2段150號10樓","1000000"," "," ","1080306","臺北市中山區朱園里南京東路２段１５０號１０樓","464917,464211,462099,","26-MAR-26","","","","",""
"82834944","寶發能源股份有限公司","臺北市內湖區行善路463號8樓","200000000","70000000"," ","1080416","臺北市內湖區石潭里行善路４６３號８樓","281099,464922,464211,353011","26-MAR-26","","","","",""
"82834965","寶宏能源股份有限公司","臺北市內湖區行善路463號8樓","1500000000","10000000"," ","1080416","臺北市內湖區石潭里行善路４６３號８樓","281099,464211,464922,353011","26-MAR-26","","","","",""
"82834971","寶隆能源股份有限公司","臺北市內湖區行善路463號8樓","2000000000","400000000"," ","1080416","臺北市內湖區石潭里行善路４６３號８樓","281099,464922,464211,353011","26-MAR-26","","","","",""
"82835346","太星綠能有限公司","臺北市信義區忠孝東路5段508號11樓之3","347000000"," "," ","1080417","臺北市信義區松光里忠孝東路５段５０８號１１樓之３","464211,464922,760912,","26-MAR-26","","","","",""
"82843893","豐新資本投資管理顧問股份有限公司","臺北市信義區松仁路89號12樓","100000","100000"," ","1080409","臺北市信義區安康里松仁路８９號１２樓","669199,702012,,","26-MAR-26","","","","",""
"82844247","耀陽能源股份有限公司","臺北市中山區中山北路3段22號1樓","1000000000","5000000"," ","1080410","臺北市中山區集英里中山北路３段２２號１樓","351000,,,","26-MAR-26","","","","",""
"82844366","麗晉國際有限公司","臺北市中正區開封街1段37號5樓","1000000"," "," ","1080410","臺北市中正區光復里開封街１段３７號５樓","903018,813000,160212,432000","26-MAR-26","","","","",""
"82855763","智新能源股份有限公司","臺北市中山區中山北路3段22號1樓","1000000000","270000000"," ","1080419","臺北市中山區集英里中山北路３段２２號１樓","351000,011999,011911,","26-MAR-26","","","","",""
"82856670","橘橘鏈科技股份有限公司","臺北市中山區中山北路1段53巷20號3樓之7","7000000","7000000"," ","1080424","臺北市中山區正得里中山北路１段５３巷２０號３樓之７","340099,,,","26-MAR-26","","","","HELIUM TOKEN,電利超商,H,HELIUMCRYPTIC,","2024-11-27"
"82863659","學參能源股份有限公司","臺北市大安區新生南路1段99號8樓","400000000","200000000"," ","1080501","臺北市大安區民輝里新生南路１段９９號８樓","351000,,,","26-MAR-26","","","","",""
"82869865","奇異果綠色資產管理股份有限公司","臺北市大同區寧夏路23之1號2樓","5000000","5000000"," ","1080507","臺北市大同區星明里寧夏路２３─１號２樓","631299,,,","26-MAR-26","","","","",""
"82871264","永展能源股份有限公司","臺北市中山區復興北路420號13樓之1","48000000","48000000"," ","1080514","臺北市中山區下埤里復興北路４２０號１３樓之１","351000,,,","26-MAR-26","","","","",""
"82871356","小福能源股份有限公司","臺北市文山區興隆路1段101號3樓","100000","100000"," ","1080513","臺北市文山區萬盛里興隆路１段１０１號３樓","433199,,,","26-MAR-26","","","","",""
"82872854","昱威科技實業有限公司","臺北市南港區重陽路120號3樓","2200000"," "," ","1080516","臺北市南港區東新里重陽路１２０號３樓","464111,456411,,","26-MAR-26","","","","",""
"82876198","客泊樂休閒股份有限公司","臺北市中山區民生東路1段29號9樓","10000000","10000000"," ","1080517","臺北市中山區聚盛里民生東路１段２９號９樓","932999,351000,011699,471999","26-MAR-26","","","","KAMPER LAND,客泊樂,","2024-11-27"
"82877035","奇異果新能源股份有限公司","臺北市中正區杭州南路1段27號3樓","100000000","23125000"," ","1080520","臺北市中正區杭州南路１段２７號３樓","631299,,,","26-MAR-26","","","","",""
"82884275","智懋科技有限公司","臺北市中山區吉林路245號3樓","3000000"," "," ","1080604","臺北市中山區新生里吉林路２４５號３樓","281099,433117,433115,","26-MAR-26","","","","",""
"82884325","衡鐿工程有限公司","臺北市大安區忠孝東路4段162號9樓之5","100000"," "," ","1080604","臺北市大安區建倫里忠孝東路四段１６２號９樓之５","252100,,,","26-MAR-26","","","","",""
"82886415","用力股份有限公司","臺北市中山區中山北路1段5巷73弄4號","1588980","1588980"," ","1080527","臺北市中山區正得里中山北路１段５巷７３弄４號","702012,476299,,","26-MAR-26","","","","",""
"82887694","前進國際能源有限公司","臺北市信義區忠孝東路5段508號11樓之3","5000000"," "," ","1080530","臺北市信義區松光里忠孝東路五段５０８號１１樓之３","760912,,,","26-MAR-26","","","","",""
"82900459","維特克能源有限公司","臺北市中山區中山北路2段129號9樓","300000000"," "," ","1080611","臺北市中山區聚葉里中山北路２段１２９號９樓","464999,,,","26-MAR-26","","","","",""
"82900465","淞信能源開發有限公司","臺北市信義區基隆路1段143號11樓之4","100000"," "," ","1080611","臺北市信義區興雅里基隆路１段１４３號１１樓之４","464999,,,","26-MAR-26","","","","",""
"82900471","淞英能源開發有限公司","臺北市信義區基隆路1段143號11樓之4","380000000"," "," ","1080611","臺北市信義區興雅里基隆路１段１４３號１１樓之４","464999,,,","26-MAR-26","","","","",""
"82901268","淞博能源開發股份有限公司","臺北市信義區忠孝東路5段508號11樓之３","100000","100000"," ","1080614","臺北市信義區松光里忠孝東路五段５０８號１１樓之３","464999,,,","26-MAR-26","","","","",""
"82901653","帝禾有限公司","臺北市大安區嘉興街363巷13號","100000"," "," ","1080614","臺北市大安區芳和里嘉興街３６３巷１３號","454700,454999,,","26-MAR-26","","","","",""
"82908044","美歐亞綠能股份有限公司","臺北市信義區松仁路89號17樓","10000000","1000000"," ","1080618","臺北市信義區安康里松仁路８９號１７樓","281099,,,","26-MAR-26","","","","美歐亞,MAIORA,MAIORA RENEWABLE ENERGY,","2024-11-27"
"82908683","亨展能源股份有限公司","臺北市中山區復興北路420號13樓之1","9000000","9000000"," ","1080620","臺北市中山區下埤里復興北路４２０號１３樓之１","351000,760999,,","26-MAR-26","","","","",""
"82909135","憶誠投資有限公司","臺北市內湖區成功路4段188號11樓之18","88000000"," "," ","1080621","臺北市內湖區內湖里成功路四段１８８號十一樓之１８","649911,760999,702099,","26-MAR-26","","","","",""
