編號,公告日期,處分日期,處分字號,事業單位名稱/自然人姓名,事業單位代表人,違反性別平等工作法（修正前為性別工作平等法，下同）條款,違反法規內容,罰鍰金額,備註
201,1051202,1050815,北市勞就字第10533728100號,千翔公寓大廈管理維護股份有限公司,黃平璋,性別工作平等法第11條第1項,雇主對受僱者之退休、資遣、離職及解僱，因性別或性傾向而有差別待遇。,,原告之訴駁回(原處分維持)
202,1051019,無,無,無,無,無,無,,本期無違反性別工作平等法之事業單位
203,1050824,1050203,北市勞就字第10438457600號,吳明羨(即洋明企業社),吳明羨,性別工作平等法第11條第1項,雇主對受僱者之退休、資遣、離職及解僱，因性別或性傾向而有差別待遇。,,審議駁回(原處分維持)
204,1050824,1050411,北市勞就字第10439473200號,健康福祉事業股份有限公司,李佳孟,性別工作平等法第21條第1項;性別工作平等法第21條第2項,受僱者依性別工作平等法請假遭拒及受不利處分,,訴願駁回(原處分維持)
205,1050803,1040825,府勞就字第10431809100號,摩鉅科技股份有限公司,蘇成達,性別工作平等法第21條第2項,受僱者依性別工作平等法申請育嬰留職停薪而受不利處分,,訴願駁回(原處分維持)
206,1050705,1041005,府勞就字第10434430300號,司威米休閒運動有限公司,王國忠,性別工作平等法第7條,雇主對求職者或受僱者之招募、甄試、進用、分發、配置、考績或陞遷等，不得因性別或性傾向而有差別待遇。,,原告之訴駁回(原處分維持)
207,1050603,1041218,北市勞就字第10435537000號,潘韞珊(即魔法牙醫診所),潘韞珊,性別工作平等法第21條第2項,受僱者依性別工作平等法請假而受不利處分,,上訴駁回(原處分維持)
208,1050603,1050203,北市勞就字第10401764000號,食昌企業股份有限公司,蔡篤清,性別工作平等法第13條第1項;性別工作平等法第13條第2項;性別工作平等法第36條,雇主未盡工作場所性騷擾防治義務、且因受僱者提出性別工作平等法申訴而予以不利處分,,審議駁回(原處分維持)
209,1050603,1050420,北市勞就字第10438168100號,全聯實業股份有限公司,林敏雄,性別工作平等法第7條,雇主對求職者招募、甄試、進用因性別或性傾向而差別待遇,,
210,1050504,1041023,府勞就字第10433144000號,全域股份有限公司,王敏烈,性別工作平等法第11條第1項,雇主對受僱者之退休、資遣、離職及解僱，因性別或性傾向而有差別待遇。,,審議駁回(原處分維持)
211,1050331,1040729,府勞就字第10434412900號,史克普股份有限公司,姜燕娜,性別工作平等法第13條第1項;性別工作平等法第13條第2項,雇主未盡工作場所性騷擾防治義務,,訴願駁回(原處分維持)
212,1050331,1041211,北市勞就字第10434597300號,橡木桶洋酒股份有限公司,陳春安,性別工作平等法第13條第1項;性別工作平等法第13條第2項,雇主未盡工作場所性騷擾防治義務,,訴願駁回(原處分維持)
213,1050205,1040213,府勞就字第10337681700號,三軍總醫院附設民眾診療服務處,陳金順,性別工作平等法第13條第2項,雇主未盡工作場所性騷擾防治義務,,訴願駁回(原處分維持)
214,1050205,1040602,府勞就字第10400676300號,花旗(台灣)商業銀行股份有限公司,管國霖,性別工作平等法第13條第1項,未訂定性騷擾防治措施、申訴及懲戒辦法，並在工作場所公開揭示,,訴願駁回(原處分維持)
215,1050205,1040806,府勞就字第10432429600號,晟泰公寓大廈管理維護有限公司,林玉玲,性別工作平等法第13條第2項,雇主未盡工作場所性騷擾防治義務,,原告之訴駁回(原處分維持)
216,1050205,1041207,北市勞就字第10435858000號,世統國際有限公司,羅世鑫,性別工作平等法第13條第2項,雇主未盡工作場所性騷擾防治義務,,
217,1050205,1041211,北市勞就字第10433722900號,唐誠生物科技有限公司,楊鵑妃,性別工作平等法第13條第2項,雇主未盡工作場所性騷擾防治義務,,
218,1050205,1041223,北市勞就字第10437520400號,昌和企業有限公司,內田亨,性別工作平等法第11條第1項,雇主對受僱者之退休、資遣、離職及解僱，因性別或性傾向而有差別待遇。,,
219,1041205,1040327,府勞就字第10338418900號,江揚育樂股份有限公司,王先後,性別工作平等法第13條第1項、第2項,雇主未盡工作場所性騷擾防治義務。,,訴願駁回(原處分維持)
220,1041205,1040515,府勞就字第10430335000號,光輝國際旅行社有限公司,劉庭榕,性別工作平等法第11條第1項,雇主對受僱者之退休、資遣、離職及解僱，因性別或性傾向而有差別待遇。,,原告之訴駁回(原處分維持)
221,1041205,1040528,府勞就字第10430672400號,千碩工程有限公司,張碩庭,性別工作平等法第13條第2項;性別工作平等法第36條,雇主未盡工作場所性騷擾防治義務及提出本法之申訴後遭解僱或其他不利之處分。,,審議駁回(原處分維持)
222,1041205,1041007,府勞就字第10432015600號,世通旅行社股份有限公司,白麗明,性別工作平等法第9條,雇主為受僱者舉辦或提供各項福利措施，不得因性別或性傾向而有差別待遇。,,
223,1041105,1031223,府勞就字第10334031000號,全國金融業工會聯合總會,林萬福,性別工作平等法第13條第2項,雇主未盡工作場所性騷擾防治義務,,審議駁回(原處分維持)
224,1041005,1040211,府勞就字第10338118900號,中華產職勞動勞資關係職能發展總會,簡成文,性別工作平等法第13條第2項,雇主未盡工作場所性騷擾防治義務,,訴願駁回(原處分維持)
225,1041005,1040211,府勞就字第10338414500號,台灣芯福里情緒教育推廣協會,楊俐容,性別工作平等法第11條第1項,雇主對受僱者之退休、資遣、離職及解僱，因性別或性傾向而有差別待遇。,,訴願駁回(原處分維持)
226,1041005,1040217,府勞就字第10336654900號,萬成航空科技股份有限公司,曹美香,性別工作平等法第13條第2項,雇主未盡工作場所性騷擾防治義務,,訴願駁回(原處分維持)
227,1041005,1040309,府勞就字第10336862400號,傑勝生化科技股份有限公司,王讚崇,性別工作平等法第13條第2項,雇主未盡工作場所性騷擾防治義務,,審議駁回(原處分維持)
228,1040805,1031223,府勞就字第10335952000號,愛點科技股份有限公司,王柏仁,性別工作平等法第11條第1項,雇主對受僱者之退休、資遣、離職及解僱，因性別或性傾向而有差別待遇。,,原告之訴駁回(原處分維持)
229,1040805,1040529,府勞就字第10430672402號,大及室內設計裝潢股份有限公司,高麗川,性別工作平等法第13條第2項;性別工作平等法第36條,雇主未盡工作場所性騷擾防治義務。雇主因受僱者提出申訴而為不利處分。,,
230,1040616,1040409,府勞就字第10338254800號,怡盛公寓大廈管理維護股份有限公司,莊子慧,性別工作平等法第21條第1項;性別工作平等法第21條第2項,拒絕受僱者育嬰留職停薪復職之請求;育嬰留職停薪復職不利處分。,,
