項次,業者名稱(市招),業者地址,產品名稱,稽查日期,稽查/檢驗項目,稽查/檢驗結果,違反之食安法條及相關法,裁罰金額,備註,違反之食安法條及相關法_標準化,危害等級,危害判斷依據
119239,郭O治,臺北市萬華區,五花肉,112/5/17,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
124659,鄭O豐,臺北市中山區,肝連,112/3/21,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
170881,鄭O豐,臺北市中山區,大腸頭-P244W(含備份),111/3/24,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
151339,鄭○癸,新北市新莊區,絲瓜,111/5/30,農藥(芬佈賜),不合格,依食安法第47條第11款裁處,30000,,依食安法第47條裁處,medium,依第47條裁處 → 多源自第22/25/26/27條
129422,鄭○華,臺北市萬華區,菜豆,112/1/4,農藥(因得克、普拔克、加保扶、賽氟滅、依芬寧、愛殺松),不合格,依食安法第47條第11款裁處,30000,,依食安法第47條裁處,medium,依第47條裁處 → 多源自第22/25/26/27條
132180,重慶水果行4018劉○彩,臺北市萬華區,GrannySmith(紐西蘭青蘋果),111/11/3,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
107376,阿德雞肉,臺北市內湖區湖光臨時攤販集中場,烏骨雞,112/7/19,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
107377,阿德雞肉,臺北市內湖區湖光臨時攤販集中場,雞胗,112/7/19,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
107469,阿德雞肉,臺北市內湖區湖光臨時攤販集中場,烏骨雞,112/7/19,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
107470,阿德雞肉,臺北市內湖區湖光臨時攤販集中場,雞胗,112/7/19,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
40663,陳O玲,新北市三重區,烏魚,114/1/14,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
40464,陳O鴻,臺北市松山區,雞胗,114/2/5,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
105149,陳○宏(無市招),新北市新莊區,香瓜,112/6/26,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
35416,陳○志,新北市三重區,玉女小蕃茄,114/3/7,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
169194,陳○恒,臺北市中山區,青江菜(嘉南水耕蔬菜),111/3/1,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
169195,陳○恒,臺北市中山區,青蔥,111/3/1,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
217093,陳○恒,臺北市中山區,菠菜,110/1/5,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
197317,陳○朗,新北市板橋區,西芹,110/7/1,農藥(氟尼胺),不合格,依食安法第47條第11款裁處,30000,,依食安法第47條裁處,medium,依第47條裁處 → 多源自第22/25/26/27條
