"統計期","勞工保險投保單位數[家]","勞工保險投保人數[人]","勞工保險給付件數[件]","勞工保險給付金額[千元]","市府推介就業服務/新登記求職人數[人]","市府推介就業服務/新登記求才人數[人]","市府推介就業服務/有效求職推介就業人數[人]","市府推介就業服務/有效求才僱用人數[人]","市府推介就業服務/求職就業率[%]","市府推介就業服務/求才利用率[%]","重大職業災害發生件數[件]","重大職業災害死亡人數[人]"
"93年 9月",96129,2056672,9803,2744956,4696,3477,1440,800,30.66,23.01,1,1
"93年 10月",96469,2068514,9097,2616701,3726,3673,1982,1614,53.19,43.94,1,1
"93年 11月",96612,2071952,9961,2777328,4317,5522,2571,2173,59.56,39.35,0,0
"93年 12月",96664,2061536,10255,3220399,3929,4143,2241,2523,57.04,60.90,1,1
"94年 1月",96603,2066922,11283,4439176,3284,3410,1399,1376,42.60,40.35,1,1
"94年 2月",96762,2059148,6752,2235612,3106,2613,980,1054,31.55,40.34,1,1
"94年 3月",96877,2051783,11414,4134034,4929,4331,1268,1988,25.73,45.90,2,2
"94年 4月",97155,2063904,10538,3901305,4059,3005,1138,1690,28.04,56.24,1,1
"94年 5月",97310,2057566,11767,4261543,3469,5517,1226,1660,35.34,30.09,4,4
"94年 6月",97070,2048312,11352,4170182,5051,9306,2092,3604,41.42,38.73,4,4
"94年 7月",97817,2095177,9762,4544392,5418,8825,2182,3380,40.27,38.30,1,1
