_id,_importdate,經度,緯度,序號,發生日期,工程名稱,事業單位名稱,地址,災害類型,死亡人數,受傷人數
31,"{'date': '2025-11-27 15:27:16.094494', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.6000207,25.0555275,31,112年5月6日,（108建151）南港區南港段三小段72之1等7筆土地新建工程,國原營造股份有限公司,臺北市南港區興南街71號,墜落、滾落,1,0
32,"{'date': '2025-11-27 15:27:16.095998', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5563927,25.0344423,32,112年4月8日,略,臺北市政府環境保護局,臺北市大安區延吉街256號收集點,被夾、被捲,0,1
33,"{'date': '2025-11-27 15:27:16.097479', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5285658,25.0428449,33,112年3月17日,109建209號，安家卓越臨沂段一小段新建工程,春源鋼鐵工業股份有限公司,臺北市中正區忠孝東路二段64巷10號,被撞,1,0
34,"{'date': '2025-11-27 15:27:16.099082', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5676306,25.0802633,34,112年1月11日,略,北大消防安全設備有限公司,臺北市內湖區瑞光路585號2樓,感電,1,0
35,"{'date': '2025-11-27 15:27:16.100655', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5936932,25.06186685,35,111年12月13日,（109建189）興富發建設工商業大樓新建工程,齊裕營造股份有限公司,臺北市內湖區安康路22巷旁,墜落、滾落,1,0
36,"{'date': '2025-11-27 15:27:16.102183', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5794049,25.05429133,36,111年12月3日,（108建249）南京S2住宅新建工程,崇偉營造工程股份有限公司,臺北市內湖區新明路428巷2號,墜落、滾落,1,0
37,"{'date': '2025-11-27 15:27:16.103689', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.55768,25.04729,37,111年11月21日,（108建009）光復南路集合住宅新建工程,富瑄營造股份有限公司,臺北市松山區光復南路22巷口,物體倒塌、崩塌,1,0
38,"{'date': '2025-11-27 15:27:16.105729', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5267509,25.09929963,38,111年11月17日,（107建193）士林區陽明段集合住宅新建工程,上承營造股份有限公司,臺北市士林區中山北路5段753號,墜落、滾落,1,0
39,"{'date': '2025-11-27 15:27:16.107295', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.55695,25.08751,39,111年10月8日,（110建066）臺北市萬華區漢中街45號重建工程,寬洋營造股份有限公司,臺北市萬華區漢中街45號,跌倒,1,0
40,"{'date': '2025-11-27 15:27:16.108779', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.61692,2506102,40,111年9月19日,（107建0232號）臺北市南港區經貿段15地號地上權案新建工程總包工程,榮工工程股份有限公司,臺北市南港區經貿二路157巷口,物體飛落,1,0
41,"{'date': '2025-11-27 15:27:16.110492', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",0,0,41,111年8月26日,（107建250）震一建設北安段集合住宅新建工程,豐譽聯合工程股份有限公司,臺北市中山區劍南路,感電,1,0
42,"{'date': '2025-11-27 15:27:16.112036', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.538313,25.00274173,42,111年8月22日,頂棚架修繕工程,ＯＯＯ,臺北市文山區羅斯福路5段218巷6弄14號,墜落,1,0
43,"{'date': '2025-11-27 15:27:16.113616', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.566123,25.036226,43,111年8月13日,（108建075）碩和信義A7商業大樓新建工程,大陸工程股份有限公司,臺北市信義區松壽路3號,被刺,1,0
44,"{'date': '2025-11-27 15:27:16.114615', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5434919,25.05335293,44,111年8月8日,（110拆052）大同大樓中山區長春一小段辦公大樓都更案,華熊營造股份有限公司,臺北市中山區南京東路3段223巷口,被撞,1,0
45,"{'date': '2025-11-27 15:27:16.115802', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.4907022,25.14336693,45,111年7月31日,（110建307）致遠新村職務宿舍及檔案大樓新建工程,世久營造探勘工程股份有限公司,臺北市北投區秀山路31號,物體倒塌,1,0
46,"{'date': '2025-11-27 15:27:16.116935', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.52674,25.030287,46,111年7月13日,臺北都會區大眾捷運系統萬大-中和-樹林線（第一期工程）CQ840區段標工程,大陸工程股份有限公司,臺北市中正區西藏路100號前地下,墜落、滾落,1,0
47,"{'date': '2025-11-27 15:27:16.118125', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5501257,25.0483569,47,111年6月18日,城市舞台暨藝文大樓及廣場周邊環境整修統包工程,應州工程有限公司,臺北市松山區八德路3段25號,墜落、滾落,1,0
