principal,date,law,name,id,lawcontent,docno,amt_dollartwd
林曄聖,2024-06-13,職業安全衛生法第6條第1項,弘武科技股份有限公司,995209901WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134648430號,30000
熊明河,2024-06-13,職業安全衛生法第20條第1項,國泰人壽保險股份有限公司,995209902WZT,僱用勞工時，未施行體格檢查，或未對在職勞工施行健康檢查,新北府勞檢字第1134648369號,30000
張佳泰,2024-06-13,職業安全衛生法第6條第2項,華中商標織造股份有限公司,995209903WZT,未妥為規劃及採取必要之安全衛生措施,新北府勞檢字第1134648036號,40000
鄭政隆,2024-06-13,職業安全衛生法第6條第1項,山發營造股份有限公司,995209904WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134648546號,40000
林鴻吉,2024-06-13,職業安全衛生法第6條第1項,國城營造有限公司,995209905WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134648378號,130000
龔惠安,2024-06-14,職業安全衛生法第6條第1項,宏民營造股份有限公司,995209906WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134648434號,70000
陳信安,2024-06-14,職業安全衛生法第6條第1項,誠意營造股份有限公司,995376634WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134648449號,70000
陳允柱,2024-06-14,職業安全衛生法第6條第2項,潔之方服務事業股份有限公司,995376642WZT,未妥為規劃及採取必要之安全衛生措施,新北府勞檢字第1134648512號,30000
邵明斌,2024-06-14,職業安全衛生法第6條第1項,瑞助營造股份有限公司,995376643WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134648438號,60000
陳朝國,2024-06-14,職業安全衛生法第6條第1項,港洲營造股份有限公司,995540226WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134648645號,150000
,2024-06-17,職業安全衛生法第7條第3項,黃信傑(即訫久企業社),995540227WZT,對於勞動部指定之機械、設備或器具，雖符合安全標準，惟未於勞動部指定之資訊申報網站登錄,新北府勞檢字第1134648318號,30000
黃志桐,2024-06-14,職業安全衛生法第6條第1項,千瑞營造股份有限公司,995540228WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134648681號,30000
何采容,2024-06-17,職業安全衛生法第6條第1項,和樂家居股份有限公司,995540229WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134648443號,30000
,2024-06-17,職業安全衛生法第6條第1項,陳國陽(即融臻企業社),996006422WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134648418號,30000
