principal,date,law,name,id,lawcontent,docno,amt_dollartwd
褚桂錡,2022-02-21,勞動基準法第32條第2項,鴻鈞電機有限公司,877748487WZT,延長工作時間超過法令規定,新北府勞檢字第11147345921號,20000
褚桂錡,2022-02-21,勞動基準法第36條第1項,鴻鈞電機有限公司,877748488WZT,每七日中未有一日之休息作為例假,新北府勞檢字第11147345922號,20000
羅紀琼,2022-02-21,勞動基準法第24條,財團法人伊甸社會福利基金會,877748489WZT,延長工作時間未依規定加給工資,新北府勞檢字第1114734590號,40000
陳翔玢,2022-02-22,勞動基準法第24條,三商食品股份有限公司,877748493WZT,延長工作時間未依規定加給工資,新北府勞檢字第1114734296號,120000
陳翔玢,2022-02-22,勞動基準法第32條第2項,三商食品股份有限公司,877748494WZT,延長工作時間超過法令規定,新北府勞檢字第11147342961號,40000
張得昌,2022-02-22,勞動基準法第23條第2項,豪來旺科技工程股份有限公司,878013279WZT,未依規定置備工資清冊或未詳實記載工資各項目明細,新北府勞檢字第1114734871號,10000
楊佳叡,2022-02-23,勞動基準法第35條,明光文教事業股份有限公司,878013280WZT,繼續工作四小時未有三十分鐘休息,新北府勞檢字第1114734473號,20000
楊佳叡,2022-02-23,勞動基準法第38條第1項及第4項,明光文教事業股份有限公司,878013281WZT,未依規定給予特別休假,新北府勞檢字第11147344731號,20000
梁色棉,2022-02-23,勞動基準法第24條,英倫梅洛赫國際股份有限公司,878013282WZT,延長工作時間未依規定加給工資,新北府勞檢字第1114734880號,40000
梁色棉,2022-02-23,勞動基準法第39條,英倫梅洛赫國際股份有限公司,878013283WZT,假日工資未給或於休假日工作未依規定加給工資,新北府勞檢字第11147348801號,20000
楊居淳,2022-02-23,勞動基準法第21條第1項,力山保全股份有限公司,878013284WZT,未達法定基本工資標準,新北府勞檢字第1114734784號,40000
楊居淳,2022-02-23,勞動基準法第23條第2項,力山保全股份有限公司,878013285WZT,未依規定置備工資清冊或未詳實記載工資各項目明細,新北府勞檢字第11147347841號,40000
楊居淳,2022-02-23,勞動基準法第38條第5項,力山保全股份有限公司,878013286WZT,未將特別休假天數及未休之日數發給工資記載於勞工工資清冊,新北府勞檢字第11147347842號,40000
LIU GIDEON CHI-JAN,2022-02-23,勞動基準法第30條第6項,台灣康恩電梯技術服務股份有限公司,878283653WZT,出勤紀錄未依規定應逐日記載勞工出勤情形至分鐘,新北府勞檢字第1114734467號,20000
郭淑雲,2022-02-23,勞動基準法第38條第1項及第4項,普威實業股份有限公司,878283654WZT,未依規定給予特別休假,新北府勞檢字第1114735168號,20000
梁色棉,2022-02-23,勞動基準法第24條,鐵岸有限公司,878283655WZT,延長工作時間未依規定加給工資,新北府勞檢字第1114734881號,20000
梁色棉,2022-02-23,勞動基準法第39條,鐵岸有限公司,878283656WZT,假日工資未給或於休假日工作未依規定加給工資,新北府勞檢字第11147348811號,20000
 ,2022-02-24,勞動基準法第23條第1項,朱辰喻(即新北市私立辰品居家長照機構),878283657WZT,未提供勞工工資各項目計算方式明細,新北府勞檢字第1114734787號,20000
官秀玉,2022-02-24,勞動基準法第23條第2項,北螢保全股份有限公司,878283660WZT,未依規定置備工資清冊或未詳實記載工資各項目明細,新北府勞檢字第1114734997號,20000
黃昆其,2022-02-24,勞動基準法第30條第6項,一成藥品股份有限公司,878283661WZT,出勤紀錄未依規定應逐日記載勞工出勤情形至分鐘,新北府勞檢字第1114735116號,40000
陳添家,2022-02-25,勞動基準法第23條第2項,家亭科技企業社,878505834WZT,未依規定置備工資清冊或未詳實記載工資各項目明細,新北府勞檢字第1114734783號,10000
陳添家,2022-02-25,勞動基準法第30條第5項,家亭科技企業社,878505835WZT,未依規定置備勞工出勤紀錄表,新北府勞檢字第11147347831號,45000
 ,2022-02-25,勞動基準法第22條第2項,蔡明桂,878505836WZT,工資未全額直接給付勞工,新北府勞檢字第1114735258號,10000
 ,2022-02-25,勞動基準法第30條第5項,蔡明桂,878505837WZT,未依規定置備勞工出勤紀錄表,新北府勞檢字第11147352581號,45000
郭金龍,2022-02-24,勞動基準法第23條,金憶實業有限公司,878505838WZT,未依規定置備工資清冊,新北府勞檢字第1114734593號,20000
郭金龍,2022-02-24,勞動基準法第24條,金憶實業有限公司,878505839WZT,延長工作時間未依規定加給工資,新北府勞檢字第11147345931號,40000
周品旭,2022-02-25,勞動基準法第59條,匯潔事業有限公司,878663941WZT,未依規定給與職業災害補償,新北府勞檢字第1114734786號,20000
