項次,業者名稱(市招),業者地址,產品名稱,稽查日期,稽查/檢驗項目,稽查/檢驗結果,違反之食安法條及相關法,裁罰金額,備註,違反之食安法條及相關法_標準化,危害等級,危害判斷依據
5246,好奇營養豆花店,臺北市士林區德行東路262之1號,湯圓,113/10/23,順丁烯二酸與順丁烯二酸酐總量,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5247,好好立和國際物流股份有限公司,新北市八里區廈竹圍21之2號1樓,-,112/6/19,GHP,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5248,好客多鮮果廣場,新北市三重區自強路5段64號,芒果,113/5/22,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5249,好客蜜餞食品行,臺北市士林區德行東路154號,,112/11/27,GHP,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5250,好客蜜餞食品行,臺北市士林區德行東路154號,土製鳳梨蔬果醬,113/1/4,標示,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5251,好市多-北投店,台北市北投區立德路117號,美國特選嫩肩里肌真空包,113/11/15,標示,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5252,好市多-北投店,臺北市北投區立德路117號,-,113/11/15,GHP,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5253,好市多股份有限公司中和分公司,新北市中和區中山路二段347號,球芽甘藍,114/5/23,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5254,好市多股份有限公司中和分公司,新北市中和區中山路二段347號,綠蘆筍,113/7/26,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5255,好市多股份有限公司中和分公司,新北市中和區中山路二段347號,冷藏鮮魚什錦,112/7/31,標示,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5256,好市多股份有限公司中和分公司,新北市中和區中山路二段347號,美威生鮮鮭魚片,112/7/25,重金屬,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5257,好市多股份有限公司中和分公司,新北市中和區中山路二段347號,酪梨,112/12/26,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
